ts,value
2026-03-01T00:00:00Z,1316.4
2026-03-01T00:01:00Z,1297.1
2026-03-01T00:02:00Z,1297.7
2026-03-01T00:03:00Z,1277.2
2026-03-01T00:04:00Z,1269.2
2026-03-01T00:05:00Z,1254.5
2026-03-01T00:06:00Z,1321.8
2026-03-01T00:07:00Z,1252.9
2026-03-01T00:08:00Z,1290.6
2026-03-01T00:09:00Z,1285.2
2026-03-01T00:10:00Z,1293.8
2026-03-01T00:11:00Z,1256.5
2026-03-01T00:12:00Z,1256.1
2026-03-01T00:13:00Z,1277.9
2026-03-01T00:14:00Z,1289.8
2026-03-01T00:15:00Z,1269.5
2026-03-01T00:16:00Z,1301.5
2026-03-01T00:17:00Z,1285.3
2026-03-01T00:18:00Z,1239.0
2026-03-01T00:19:00Z,1290.0
2026-03-01T00:20:00Z,1284.2
2026-03-01T00:21:00Z,1257.4
2026-03-01T00:22:00Z,1272.8
2026-03-01T00:23:00Z,1277.1
2026-03-01T00:24:00Z,1261.4
2026-03-01T00:25:00Z,1287.4
2026-03-01T00:26:00Z,1245.1
2026-03-01T00:27:00Z,1274.1
2026-03-01T00:28:00Z,1227.1
2026-03-01T00:29:00Z,1260.7
2026-03-01T00:30:00Z,1298.7
2026-03-01T00:31:00Z,1293.3
2026-03-01T00:32:00Z,1252.4
2026-03-01T00:33:00Z,1251.5
2026-03-01T00:34:00Z,1270.7
2026-03-01T00:35:00Z,1252.3
2026-03-01T00:36:00Z,1278.6
2026-03-01T00:37:00Z,1223.5
2026-03-01T00:38:00Z,1278.3
2026-03-01T00:39:00Z,1278.2
2026-03-01T00:40:00Z,1251.4
2026-03-01T00:41:00Z,1265.1
2026-03-01T00:42:00Z,1238.6
2026-03-01T00:43:00Z,1248.0
2026-03-01T00:44:00Z,1248.2
2026-03-01T00:45:00Z,1263.6
2026-03-01T00:46:00Z,1231.8
2026-03-01T00:47:00Z,1249.0
2026-03-01T00:48:00Z,1262.1
2026-03-01T00:49:00Z,1267.1
2026-03-01T00:50:00Z,1227.8
2026-03-01T00:51:00Z,1212.5
2026-03-01T00:52:00Z,1208.9
2026-03-01T00:53:00Z,1207.4
2026-03-01T00:54:00Z,1216.0
2026-03-01T00:55:00Z,1237.1
2026-03-01T00:56:00Z,1236.9
2026-03-01T00:57:00Z,1251.2
2026-03-01T00:58:00Z,1255.2
2026-03-01T00:59:00Z,1223.7
2026-03-01T01:00:00Z,1252.6
2026-03-01T01:01:00Z,1276.1
2026-03-01T01:02:00Z,1254.9
2026-03-01T01:03:00Z,1230.9
2026-03-01T01:04:00Z,1258.4
2026-03-01T01:05:00Z,1211.5
2026-03-01T01:06:00Z,1212.0
2026-03-01T01:07:00Z,1275.1
2026-03-01T01:08:00Z,1196.8
2026-03-01T01:09:00Z,1260.9
2026-03-01T01:10:00Z,1259.3
2026-03-01T01:11:00Z,1257.9
2026-03-01T01:12:00Z,1195.9
2026-03-01T01:13:00Z,1200.0
2026-03-01T01:14:00Z,1270.1
2026-03-01T01:15:00Z,1196.7
2026-03-01T01:16:00Z,1204.1
2026-03-01T01:17:00Z,1206.2
2026-03-01T01:18:00Z,1264.4
2026-03-01T01:19:00Z,1233.0
2026-03-01T01:20:00Z,1226.0
2026-03-01T01:21:00Z,1207.9
2026-03-01T01:22:00Z,1220.1
2026-03-01T01:23:00Z,1232.9
2026-03-01T01:24:00Z,1226.8
2026-03-01T01:25:00Z,1235.4
2026-03-01T01:26:00Z,1186.5
2026-03-01T01:27:00Z,1214.8
2026-03-01T01:28:00Z,1231.6
2026-03-01T01:29:00Z,1245.9
2026-03-01T01:30:00Z,1216.3
2026-03-01T01:31:00Z,1182.4
2026-03-01T01:32:00Z,1203.5
2026-03-01T01:33:00Z,1191.3
2026-03-01T01:34:00Z,1228.6
2026-03-01T01:35:00Z,1184.8
2026-03-01T01:36:00Z,1209.2
2026-03-01T01:37:00Z,1245.0
2026-03-01T01:38:00Z,1179.3
2026-03-01T01:39:00Z,1255.0
2026-03-01T01:40:00Z,1180.8
2026-03-01T01:41:00Z,1231.7
2026-03-01T01:42:00Z,1241.5
2026-03-01T01:43:00Z,1185.0
2026-03-01T01:44:00Z,1179.4
2026-03-01T01:45:00Z,1187.1
2026-03-01T01:46:00Z,1175.9
2026-03-01T01:47:00Z,1230.5
2026-03-01T01:48:00Z,1243.0
2026-03-01T01:49:00Z,1178.2
2026-03-01T01:50:00Z,1233.6
2026-03-01T01:51:00Z,1250.5
2026-03-01T01:52:00Z,1190.3
2026-03-01T01:53:00Z,1196.7
2026-03-01T01:54:00Z,1229.8
2026-03-01T01:55:00Z,1188.2
2026-03-01T01:56:00Z,1193.6
2026-03-01T01:57:00Z,1205.6
2026-03-01T01:58:00Z,1197.4
2026-03-01T01:59:00Z,1207.8
2026-03-01T02:00:00Z,1188.2
2026-03-01T02:01:00Z,1209.1
2026-03-01T02:02:00Z,1178.9
2026-03-01T02:03:00Z,1194.5
2026-03-01T02:04:00Z,1199.5
2026-03-01T02:05:00Z,1188.2
2026-03-01T02:06:00Z,1198.9
2026-03-01T02:07:00Z,1192.2
2026-03-01T02:08:00Z,1176.9
2026-03-01T02:09:00Z,1213.2
2026-03-01T02:10:00Z,1174.1
2026-03-01T02:11:00Z,1218.2
2026-03-01T02:12:00Z,1211.5
2026-03-01T02:13:00Z,1167.9
2026-03-01T02:14:00Z,1229.1
2026-03-01T02:15:00Z,1173.5
2026-03-01T02:16:00Z,1241.9
2026-03-01T02:17:00Z,1207.7
2026-03-01T02:18:00Z,1193.5
2026-03-01T02:19:00Z,1188.0
2026-03-01T02:20:00Z,1176.8
